property_id,property_name,listing_id
6715635,Luxurious apartment in Puerto Banus Marbella,106464999
6751621,1 Line Beachfront Apartment with stunning sea view,106464821
6771813,Near beach 2-Bed Apartment in Centrum Fuengirola,106464779
6895763,Charming 3 Bed Beach Apartment in Punta del Moral,106464977
6896776,"Villa with Private Pool & Rooftop Terrace, Sleeps6",106464808
6927347,Luxury Villa in perfect location with sea views,106464942
7058937,Charming 10 pers Villa with swimmingpool Sevilla,106464667
7061074,Cozy house in Granna,103428399
7165843,"Manzanilla Penthouse - Private jacuzzi, 5min Beach",106465195
7166286,Casa Pino with private pool and garden,106464758
7172409,AS052 Les Tourtereaux  2-bedroom,106465025
7176591,Luxury 9ine The Exclusive Jacuzzi Apartment,109020695
7176593,Luxury 9ine Lux Cosy 2 Bedroom Apartment,103483931
7179620,Stunning sea view and waterfront apartment,106464806
7181083,Studio Flat with kitchen and toilet included,96095146
7181169,Beautiful 1-Bed House in Korce,96268406
7201639,Stunning 2-Bed Apartment in Marina de le Duquesa,106464729
7265859,Beautiful 3-Bed Lodge in kent,106944709
7282290,Modern 2-Bed Seaside Apartment in Casares Costa,106464988
7330430,Fabulous Front Line 3-Bedroom Apartment in Mojacar,106465111
7348895,Field View 5-Bed House - free parking,100387965
7365705,Modern 2 bed apartment near Wembley Stadium,100537688
7402280,Lovely townhouse with sea view,106465178
7428682,Captivating 3-Bed Villa in Antas,106465205
7510351,isimi luxurious house newcastle,100339847
7511403,Charming 1-Bed Apartment in Accra,100192299
7533156,"New apartment in Tilal Fanar resort, pool,Tennis",104460188
7554670,Stunning 1-Bed Apartment in London,100230448
7566204,"Story Villa, 1 Bedroom with Ocean & Mountain View",100342676
7605898,"Lovely 1-Bed House in Tema, Afienya-Mataheko Accra",100790075
7622737,Cosy Hideaway Close to Town,101500975
7624063,"Lovely two-bedroom house near Aburi, Accra",100934634
7627408,"Duplex in Solemar, 2 bedrooms, 2 balconies",105493123
7631634,10mins from Dubai Mall Studio with a Large Balcony,104317437
7631670,Large Balcony Studio 10mins from Dubai Mall,104475146
7634652,Serene Manor Captivating 1-Bed Apartment in Lekki,101604354
7643579,"Captivating 3-Bed House in Kigali , Rwanda",103242391
7653264,The Gold- Home away from home,101231318
7655879,2 Beds Top Vibes Apartment next to United Nations,101238195
7656108,Stylish beautiful Lodge in Norwich,101509302
7657687,Beach Haven - Silver Beach - Standard,101259344
7659838,Charming City 1-Bed Apartment in Birmingham,101282211
7673376,Charming 4-Bed Cottage in Hampton,104311073
7677162,Homely 2-Bed Apartment near Luton town centre,101604373
7679077,"Lovely 10 Bed Villa, Private Garden and Pool",106849278
7681752,Stunning 2-Bed Ground floor Apartment in Romford,101418411
7684645,Stunning 1-Bed Studio in London,101604358
7685331,Beautiful 2-Bed High Rise Apartment in Royal Wharf,101604366
7686928,Central Beverley 4-Bedroom Townhouse,101604370
7687008,New Cosy Studio in London!,101604361
7688109,Amanya Hut  3-Bedroom House Amboseli,101442766
7689547,Inviting 4-Bed House near Heathrow with fireplace,101604355
7690009,Living the Dream on the River,101604353
7699937,La Resina Golf Estepona Secure private complex,106464908
7713397,Inviting 4-Bed Apartment in Dartford,102157998
7716720,Immaculate 3-Bed House in Bridgnorth,102158198
7756785,Cozy Coventry Retreat with 2 Bedrooms House,102129155
7765274,Charming 2-Bed House in San Juan de los Terreros,106464738
7767387,Immaculate 2-Bed Apartment in east London,102457573
7772293,Stylish 1-Bed Apartment in Swindon,102157271
7781144,2Bedroom-1Bathroom-Patio-WiFi,109018649
7787970,3 Floor 2 Bedroom House,102240356
7799026,Charming 2-Bedroom Apartment in Costa Esuri Golf,106464727
7800966,Beach Experience Get-Away!,102464227
7812225,Beautiful 4 Bed House in Sheffield,109115886
7840752,Unique and Artsy Getaway-  4 Bed House in Caterham,104160439
7843195,Lovely 1-Bed House in Birmingham,103359949
7859809,Impeccable 1-Bed Apartment in Birmingham,103006483
7862106,Remarkable 2-Bed House in Old Harbour,103243979
7869755,Beautiful 1-Bed House in Bradford,103558205
7877077,Minimal - Olympiados,103358272
7886914,Pristine Relocation Flat 1,103049703
7890713,Mountainside Lodge in Aberdovey - near beach,109185907
7894278,Stunning 2-Bed Apartment in Kigali,103320001
7904940,Beautiful 2-Bed Apartment near Lincoln City Centre,103574674
7909302,Bespoke 2-Bed House in Stoke-on-Trent,103320723
7909791,Beautiful 2-Bed Apartment in Stanford-le-Hope,103318336
7919692,2 Bed Luxury Apartment in Bracknell Sleep upto 4,103370277
7922995,Beautiful 1-Bed Apartment in Colchester,103374582
7924516,Lovely 1-Bed Apartment in London,103380721
7928242,The Weymouth House holiday home in Dorset,103929207
7930518,Modern homely Chalet in Tuxford,103445140
7945021,Bustling Western Apartment,103580160
7945845,Impeccable 1-Bed Apartment in Stockton-on-Tees,103580911
7948093,Charming Chichester Lodge Retreat,103580631
7957958,"Stunning 3 Bedroom,5 beds   House in Wolverhampton",103716843
7961036,Brand New Entire 4 Bed House/Multiple Parking,103887035
7962829,Boheme Proprety in the Heart of Timisoara,104360861
7963893,Beautiful 4 Bedroom Duplex Apartment,106465067
7965877,"Spacious 3 Bed House in Penrhyn Bay, Llandudno",103758742
7968007,Mablethorpe Lakeside Caravan with Decking & Wi-Fi!,107696420
7988056,True Luxury and calm environment combined,104252957
7988806,1-Bed Apartment in St Margrets Bay,104168207
7991541,Lovely 3-Bed Lodge in Eyemouth with stunning views,104050748
7991650,Remarkable 4-Bed House in Chatham,104162313
8006616,Newly renovated 2 Bed ground floor flat in Haskovo,104023187
8012869,Immaculate 4-Bed Apartment in London,104049559
8013873,Remarkable 5-Bed Villa in Playa Blanca,106465134
8022728,The Croydon Penthouse,105403386
8023330,Inviting 4-Bed Apartment in Walsall,104280956
8028939,Immaculate 2 Bed House in Cambridge,104166380
8029407,2 Bedroom Haven at Stonebrooks,104166301
8039228,Remarkable  7 bed Villa with private pool,106465150
8039428,Corfu Dream  Kanoni Apartment,104250143
8050356,Tortuga Beach Resort 3 Bed Villa with pool,104312621
8059117,Sunny Cantoria Retreat with 3 Bedrooms,107712437
8059452,Luxurious Villa with Stunning Views in La Perla,106464941
8063169,Chic Haven Studio in kingston,104452898
8064798,Inviting 3-Bed House in Mijas,106616312
8064963,Charming Studio with Garden Oasis in Kingston,106559197
8070869,Private Apartment Dunas Resort 1 Bed penthouse,105406094
8073492,Spacious family friendly 3-Bed Villa Dunas Resort,106727126
8078556,Campsitechalet in Viareggio near sea incl airco,104523156
8078731,Charming 6-Bed Chalet in Llanes,106464984
8083101,2 bed apartment that steps out on to the pool,106465194
8083844,Impeccable 3-Bed Apartment in Marbella,106464678
8093756,Front line seafront apartment with all day sun!,108282681
8099198,Beautiful 2-Bed Lodge near Strathpeffer,109025393
8103181,Charming 2-Bed Villa in Hay Riad Rabat,105128740
8108716,Spacious Cottage on the Lizard Cornwall,105971832
8109548,Cosy 1-Bed Studio in Northolt,105782077
8112735,Appartement a louer au Nord du maroc fnideq,105753704
8112852,Captivating 2-Bed Apartment in London Paddington,105124318
8120808,Captivating Private House in Benalmadena,106465209
8126284,Luxury villa incl pool with seaview near beaches,105403139
8126664,Spacious 4-Bed House in Leicester/Free parking,105267488
8128703,"Peaceful riverside cottage in Machen, Caerphilly",105382901
8130894,Luxury Lagos Apartment with 3 Bedrooms,105970082
8131146,Remarkable 1-Bed Apartment in Dubai,105404810
8134360,Stunning 3-Bed House in Bristol,105401418
8137159,Lovely 2-Bed Apartment in Ibeju Lekki,105458732
8138084,Stunning 3bed apartment in lanjaron,106464807
8138384,"High Spec 1-Bed Cottage in Staindrop, Darlington",105401647
8140614,Cozy Villa Retreat in Buje,105405036
8140940,"Cosy rural retreat w/ Garden, Bristol, Somerset",105405577
8141854,Remarkable 5-Bed House in Luton,105405302
8142559,Luxury new build modern 1-bed apartment Birmingham,105404651
8147895,Inviting 1-Bed Apartment in Dbayeh,108482044
8148693,2 bed apartment in Antrim town centre,105974161
8157069,Exceptional Apartment in Luton,105785850
8158712,"Cosy 2 bedroom, in the green oasis with palm trees",106465223
8161397,Home away from home in the heart of Kingston,105973413
8172145,Luxurious 5 bedroom villa with waterfall closeby,106464913
8177487,Seaside Escape Chalet in Bridlington,105783753
8177539,Cozy Seaside Chalet in Bridlington,105783756
8178146,Cozy London Apartment - Central Location,105782258
8179294,4 Bedroom Private Villa  Villa La Tourelle,105785483
8181432,Amira a modern house in San Juan de los Terreros,106464664
8182501,Cyprus Cozy Apartment in Girne,105800461
8183499,"Acorn Apartment in Cellardke, Anstruther",105974240
8184173,Rondane Retreat in Ascot,106405525
8187294,Live on a luxury 65ft yacht in Duquesa- Estapona,106464917
8190102,Shepherds Hut near Brackley - Walltree House,105969564
8190668,Shepherds Hut near Brackley - Walltree House,105969557
8193501,Blackwood aptment and tiny house 30 mins  Cardiff,106942943
8195105,Apartment in Zyrardow 10min to Suntago,105965191
8195665,Charming 2 Bedrooms Apartment in Birmingham,105901553
8197685,Xanadu Beach Villa 1 Min Walk To The Beach,105968581
8201394,Luxury  4 pers Apartment in Alhaurin de la Torre,106464915
8205268,Luton City Apartment Retreat,105973931
8209249,villa immersa nella natura con vista al mare,106465107
8221412,Corby Homely Stay Home away from Home,106616205
8227747,Mar Menor Golf Resort - 2 Bedroom apartment,106465047
8230857,Madrid City Center Apartment with Modern Amenities,106465225
8231420,Madrid Oasis Apartment - City Center for 6,106465222
8231652,Stylish Living Stays - Luxury Apartment for 3,106232148
8237515,Salvin House Alston - North Pennines Cottage,106257241
8237937,Stylish Exclusive Townhouse in Sunny Cyprus,106372537
8240346,Appartamento-Hand made Suite,106465217
8240754,Ocean View Paradise in Puerto Galera,106525053
8240998,Hazlebury Muse in Poole for total wellness,108741753
8241386,Cosy Dundee Apartment with Stunning Views,106623968
8241472,"Sunny Seaside Retreat in Calahonda, sea view, pool",106465236
8245250,3 bedroom city centre apartment,106402387
8245320,B&B in central Canterbury,106402379
8245884,Lodge size Retreat in Lyons robin hood Rhyl,106411345
8249233,Coastal Haven Mahebourg,106389023
8249510,"Luxury 1 Bedroom Apartment, Close to Centre & more",106401223
8251242,Beautiful London Apartment in Shoreditch,106388939
8252386,Cosy Studio in Dudley City Center,106624049
8253699,"Beautiful Coastal Retreat in Punta Paloma, Tarifa",107573716
8254199,"Ideal for a longer stay or contractor, sleeps 1-4",106412421
8268814,Beautiful luxury house w sea view & outside space,106643897
8269462,Dee Valley escape with hot tub,106675878
8276061,Luxe studio apartment in Leicester city center,106622753
8276512,Seaside Escape inside Park Holiday Polperro,106615849
8278528,Cinque Terre campsite chalet 328 near the sea,106623565
8279775,Modern flat sleep 6 - near Battersea Power Station,106623975
8282219,Secluded converted horsebox Retreat in Welcombe,106697884
8283002,Cozy Seaside Apartment in Manilva,106646622
8283694,Bed2Bathroom - 10Minutes From CityCentre & Quays,108288744
8289720,"Pebble Cottage 3, Buckingham Mews",107486969
8291098,Beautiful 2 bedroom  private garden apartment,106737331
8298479,Furness View Barn Retreat,106786188
8300462,Luxury apt near beach w big terrace and sea view,106792557
8302711,Wednesbury Retreat for Groups & Families,107712511
8304254,La Duquesa place in the sun,106791121
8304770,OrangeSquare-4bedroom-3Bathroom-Terrace-WiFi,108598679
8309263,Charming Lincoln Cottage Family & Pet-Friendly,108263475
8315650,Shell Hill Deluxe Apartment in Coleraine,107712449
8322925,Beautiful Character Cottage - with Hot Tub,106925914
8323857,Madrid Center Charm Apartment 1 Bedroom,107286407
8324049,Patch' The Hilltop Glamping Tent - Sleeps 5,106926110
8324453,Edinburgh Cozy Apartment Retreat,106925483
8324950,Tropical hideaway studio apartment,106940792
8325001,2 Bed Luxury Apartment in Oniru Vi Lagos,106939975
8325079,Cozy Caravan Retreat in Cardiff,106940794
8325116,Exquisite Riverside Living in a Stunning Flat,106941177
8325516,Spoonley Apartment in Llansantffraid ym mechain,106942860
8330624,The Penthouse Of Opulence City Centre Apartments,108484070
8337873,Cozy Surulere Apartment in Lagos,107199705
8338221,The Terrance principle  Asturias 15,107440195
8339082,Swallows Rest - Scenic Cottage with Stunning Views,108193633
8341681,Jubilee Jewel a treasure in The Queen of Valleys,108065247
8342000,Estepona Villa Retreat,109514177
8348589,"Centrally Located Budget Apartment, 3mins to Tube",107506439
8351915,Two’s Company,107540727
8352287,Rotzy residences Burnley Home Away From Home,107441540
8355239,UPPAMOSLuxurious London House with 4 Bedrooms,107285073
8356188,Serene 2 bedroom Apartment in Vera,107177256
8361050,Old Bodija Ibadan - 3 Bedroom Home,107828818
8361981,Bas Charming 3 Bedroom House,107599233
8364948,"Bright & Spacious, Central for Airport and Glasgow",107599279
8369813,London Bliss House in SE6,107282825
8371677,Stunning 4 Bed Pet Friendly Cottage with Hot Tub,107283955
8378215,Oxford Retreat & Relaxation House,107748178
8381138,New Cosy London Apartment with garden view,107458765
8383599,Charm of Leeds in With A Stylish Getaway,107441065
8387258,Modern 2 Bed Apartment in Marbella,107749531
8388362,4 Bedroom Excellent Spacious House Free Parking,107759129
8388719,Serenity Villa at GRa Benin by  BnJ Luxury,107461214
8390026,Ocean Village Marina! 2 bedroom apartment,107486312
8390055,Rotzy Residences Adefowope - Home Away From Home,107624052
8390708,Beehive Suite - City Chic London Apartment,107460051
8390785,Tranquil Oasis in Benin City by bnj luxury,107461172
8391721,Cozy Cottage in Lupburg near Regensburg,107616923
8395720,SaltWater Holiday Lodge for Penzance and St Ives,109019502
8397132,Britton Street Retreat - 4 Bedroom House,107601545
8400043,"Dine & Rest, 1 bedroom apartment at little India",107574272
8400422,170sqm with private garden,107601719
8401592,In the middle of the forest nearby Ahus,108740034
8404922,"Paradise Retreat in Manilva, Casa Jean",107695849
8406013,"Stylish, Luxury Apartment Sleeps 4 - Southampton",108272316
8406980,Cozy Cottage Retreat in Shaftesbury,107623846
8408415,Amore Villa Retreat in Ocho Rios,107600725
8408654,Apartment in Centre of San Juan del Puerto,108001815
8409357,EarlyCheckIn spacious house w/ parking in London,108426496
8412139,Cosy Bilbao city center Apartment - 2BR,107622068
8415750,3 Bedroom Apartment Stylish Coastal Retreat,107758115
8417331,Luxury villa with private pool,107999493
8417867,2 Bed House - Large Garden - Fully Refurbished,107997490
8418549,"4 Bedroom, Free Parking, Contractors & Families",107961710
8419291,"Exquisite 3BR Duplex Apartment, Air-con& Amenities",107756820
8419461,Luxury Riverside Mansion in Marlow,107759474
8420369,Whitley Bay - Sleeps 6 - Refurbished Throughout,107996828
8421239,1 Bedroom-1 Bathroom-WalkinShower-Terrace,107959029
8423137,Elegant 5 Bedroom House/Free Parking/Yard,108276606
8427602,Cosy and spacious 2 bedroom house,107982415
8429509,1Bedroom-1Bathroom-OverBathShower-Wifi,109125720
8432411,Swarna derana  cozy retreatment jaela,107997438
8433446,3 Bedroom Cozy House in Reading,107957800
8438789,Charming little cottages,108376864
8439250,Madrid City Apartment,107982949
8439426,"Modern, Central East London City Apartment",108003586
8440672,Brighton Seaside Retreat with 2 Bedrooms,108594647
8440764,Snowdonia-3Bedroom-2 Bathroom-PetFriendly-Garden,109123700
8448282,Golf course and sea views with two terraces!,108375973
8448325,Tropical Oasis Retreat in Discovery Bay,108148399
8451965,4bedroom-2Bathroom-Garden-WiFi,108405203
8452438,"Paradise Apartment in Malay, boracay, philippines",108196124
8452953,Cozy London Stratford Apartment with Gym,108594239
8453044,Cozy Bromley Hideaway - Perfect for Couples,108407090
8456440,Owerri Luxury Retreat with 5 ensuite Bedrooms,108276003
8456915,Seaside luxury Pod Retreat in Saint Ives,108310750
8459548,La Duquesa Port-Apartment-Beachfront-WiFi,108425423
8461714,CityCentre/Balcony/ DoubleBed/ FreeP/ Tv/ WiFi,108502368
8461948,1Bedroom-1Bathroom-Accessible-PrivateTerrace,108472364
8465038,"Garden Suite, Beautiful Seaview - close to Beach",108501128
8466376,Stylish Two-Story London Retreat,108404555
8466911,Hive stays close to Abbeywood free parking WIFi,108484064
8467602,Lovely Studio Apartment in Soufriere from Claviers,109043209
8467916,Cottage-IsleofMull-StunningViews-WiFi-Parking,108684921
8468293,6Star Golf Villa with Pool and Stunning Views,108408775
8469436,City Chic Apartment in Manchester,108507980
8469961,Hyderabad Serenity Retreat - 3 Bdrm Apartment,108398078
8470053,Charming Three Bedroom House in Birmingham,108481694
8470399,Luxury 2 bedroom Jamaican townhouse Ocho rios,108483335
8470813,Waterfront apartment with Sea view,108425985
8477374,Morgan vale A beautiful 4 Bedrooms house,108732752
8477742,Luxurious 6-Bed House with Pool and Free Parking,108504814
8478341,"Stone Moor Lodge, Justin's Peak District Base Camp",109019582
8479262,Emerald Apartment with Triple A star Proximity,108490488
8479511,Villa sea views with park in front of the beach,108688507
8480371,StunningViews-Privacy-Hiking-Sleeps8-WiFi,108507018
8481146,Chalet in Romney Sands with disabled access,108483473
8483037,Luxury caravan sea views sleep 6 free wifi,108503771
8484477,Menorca Chalet Rustic Sunny Retreat by the Sea,109277853
8485545,Windsor Woods Retreat,109513286
8491354,Coastal Static Caravan Retreat in Perranporth,109187750
8493874,Luxurious Bracknell Apartment - Central Location,108598846
8494519,Charming Studio 10 Minutes from Dubai Mall,108596297
8495296,Sunny Villa Escape in Sucina,108600962
8497549,Casablanca Dream Apartment with Two Bedrooms,108685421
8499299,September House in Liverpool,108739074
8500648,Sunrise Luxurious Lodge in Newquay with a Pool,108719667
8502653,Flexible One Bedroom Apartment with Sofa Beds,108718898
8503618,studio apartment with sea view,109189740
8505016,HighRiseViews/FamilyFriendly/NearTajMahal,108740473
8510286,Cottage-Fireplace-Garden-PetsOK-3BR-Parking,108990732
8512382,Cozy & Feminine London Apartment Retreat,108994753
8513565,Sheffield Retreat - Cozy 3 Bedroom House,108994577
8517061,Spacious Bed Rest Stay in Salford City,109452162
8517248,2-bedroom apartment in Alcazaba Lagoon,109354441
8517579,The Boatyard Glamping Lodges-Fairline Lodge,109068323
8519468,Seaside Escape in Kirkcaldy,109186667
8520347,Penthouse Suite in South Beach Ocean,108931555
8520990,Spacious 1-Bed Flat in Golders Green near Station,109116863
8522514,Beautiful Apt - Hacienda Riquelme Golf Resort,109016546
8528126,Garden-Parking-3 Guests-WiFi-20minsGatwick,108993501
8528230,Brades Rise Retreat - Cozy 3 Bedroom House,109016088
8529474,Apartment close to Stockholm city,109288313
8529731,Gold rated modern lodge near St Ives & Penzance,108993173
8530234,Romford Retreat - Stylish Apartment Stay,109476927
8530471,Blake Rainham Homestay,109477419
8530598,O M Luxurious Apartments,109018330
8531007,Sunny Oasis Retreat in Arona,109047425
8531418,Tranquil Lodge Retreat in Wells,109046076
8533342,KingBeds/LiverpoolCity/FreeP/Wm/FastWifi,109042843
8534329,Ultimo Apartments Benin City Cozy Retreat,109047129
8534573,Ultimo Apartments Benin City Cozy Retreat,109047158
8534632,Ultimo Apartments Benin City Cozy Retreat,109047184
8534788,Ultimo Apartments Benin City Cozy Retreat,109047163
8534835,Ultimo Apartments Benin City Cozy Retreat,109047150
8534954,Ultimo Apartments Benin City Cozy Retreat,109047178
8535045,Ultimo Apartments Benin City Cozy Retreat,109047153
8537882,Woodland View by the Canal Hebden Bridge,109064536
8539276,"Detached 4 Bed-UltraFast Wifi,Garden,Free Parking",109062593
8539697,Lovely Twin 2-Flats Condo In Aberdeen,109085107
8539895,Briggate Bliss Apartment in Leeds,109116405
8540064,Cosy Smethwick Escape - 2 Bedroom House,109084452
8541150,Cozy 4-Bed House in Accrington,109084847
8542796,Apo Resettlement Retreat in Abuja,109106967
8543683,Liverpool Hideaway - Modern 3-Bed House,109107194
8544081,Limehouse En-Suite with Garden View,109308784
8544127,Travellers Stays In The Heart Of Orrell Park,109107034
8546046,Charter House with good Wifi,109117702
8546443,Lovely 3 bedroom house in Rochester/Strood,109117703
8546558,Bucovina-MountainHouse-5BR-Fireplace-HotTub-WiFi,109116091
8546651,Bucovina-A-FrameHouse-HotTub-Fireplace-Patio-WiFi,109116092
8547651,City London Apartment Retreat in Elephant & Castle,109278701
8549477,Madrid Rio Apartment - Carabanchel,109186859
8550601,Albufeira Villa El-Gharb private 4 Bedrooms,109187052
8550729,"Park Lodge- Families, Business and contractors",109476520
8550816,Cozy Urban Retreat in Manchester,109277043
8551375,Cute Studio Apartment in Soufriere from Clavier's,109405495
8551420,Quaint Studio Apartment in Soufriere from Claviers,109405493
8552999,Apartment in Alvsjo Stockholm,109281660
8561278,Cozy London Apartment with Great Location,109342234
8563531,Ali's Cozy House sleeps 4,109481640
8563648,Harrow/Sleeps10/PrivateGarden/3BR/FreeParking/WiFi,109353849
8569414,Cozy Blackpool Retreat with 3 Bedrooms,109405759
8571151,Apartment  in Alvsjo near Stockholm city,109405578
8571540,2BR-NearCityCentre-WiFi-Parking-Garden,109405972
8572258,"Calle Irene, 6 in Los Alcazares",109404832
8572606,Skegness place to be,109485543
8574302,Tangier Sunset Retreat,109480501
8574748,Cozy London Apartment with Great City Views,109421196
8574813,Justaura Retreat Branston,109420986
8575986,Chatham Retreat by the River,109424026
8576808,Stafridine Luxury Apartments,109477199
8579149,"Winners Inn comfort environment, in Manchester",109481851
8580669,Beautiful house off-road free parking,109480926
8581116,Tranquil Cabin Retreat near Wells,109511370
8581180,Tranquil Retreat in Corby,109479468
8581580,Milton Keynes Modern Retreat,109480774
8582330,The Sakura Mews by Harrods,109501846
8583931,"Apartment  Telefonplan , Stockholm",109512689
8584778,London Comfy Apartment Central Location,109521469
8585404,Lynch Lane Lodge - Relax in Weymouth,109522539
8586260,"Cozy Studio in Hasselby , Stockholm",109521166
8586658,Alpine Retreat in Sankt Anton,109543046
8586736,Seaside 3 bed Chalet Escape in Mablethorpe,109522171
8587066,Summerville Manor Luxury Residency With Drive,109521074
8108410,Cozy Bromyard Apartment with 2 Bedrooms,109596918
8577672,Cozy Nottingham Retreat with 4 Bedrooms,109592219
8582234,"Entire house, sleeps 6 ideal for tradesmen",109591945
8593564,Cozy Winter Hot Tent with Log Burner,109594169
