Provider Property ID,Expedia ID,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
796574,110885148,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797804,110885187,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797803,110885185,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798265,110919252,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796614,110885178,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797209,110868100,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798263,110919235,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796613,110885174,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797210,110868102,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798244,110919213,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
798245,110919210,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797201,110868103,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
798249,110919208,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
797202,110868098,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
796605,110885168,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
796604,110885171,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
801896,111019313,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
801864,111004289,N/A,TRUE,N/A,TRUE,TRUE,FALSE
801446,110924662,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
709661,110822569,N/A,TRUE,N/A,TRUE,TRUE,FALSE
801888,111014444,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
801884,111014304,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
709696,110822575,N/A,TRUE,N/A,TRUE,TRUE,FALSE
801886,111014303,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
801887,111014301,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
801885,111014300,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
801879,111013927,N/A,TRUE,N/A,TRUE,TRUE,FALSE
801865,111005217,N/A,TRUE,N/A,TRUE,TRUE,FALSE
797991,110832601,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
801895,111019312,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
709685,110822572,N/A,TRUE,N/A,TRUE,TRUE,FALSE
801878,111013926,N/A,TRUE,N/A,TRUE,TRUE,FALSE
801881,111012903,N/A,TRUE,N/A,TRUE,TRUE,FALSE
693899,95036309,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
520083,93417975,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517381,93417993,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517373,93418404,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517370,93418327,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
516566,93418487,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
690793,93478982,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
520084,93417976,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517374,93418231,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
517372,93417936,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
700705,95967454,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
520090,93418488,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517377,93418507,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517368,93418592,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517365,93418414,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
517362,93418505,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517357,93418321,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
514969,93418591,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
518080,93418362,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
517367,93418322,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
516503,93418230,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
517382,93418323,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
517361,93418506,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
515455,93418258,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
519193,93418406,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517390,93418233,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517385,93418330,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
519975,93418361,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
517379,93419263,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
514665,93418403,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
796583,110885153,FALSE,FALSE,N/A,TRUE,FALSE,FALSE
796602,110885166,FALSE,FALSE,N/A,TRUE,FALSE,FALSE
796581,110885152,FALSE,FALSE,N/A,TRUE,FALSE,FALSE
