Provider Property ID,Expedia ID,Public Code,Reason Codes,Regulatory Compliant,Images,Number of Bedrooms,Number of Bathrooms,Active Products,Sufficient Inventory
802922,111234631,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803203,111293506,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803202,111293490,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803084,111275062,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803694,111383063,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803678,111382716,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803670,111382640,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803674,111382637,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803671,111382639,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803673,111382638,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
801464,111233098,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
802919,111231771,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803067,111270301,OnboardingFailed,InvalidProperty,,,,,,
803428,111343152,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802864,111213489,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803422,111342905,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803418,111341662,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803413,111337759,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802848,111207551,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803639,111373301,OnboardingFailed,InvalidProperty,,,,,,
803366,111335328,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803367,111335327,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803403,111334831,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803062,111270298,OnboardingFailed,InvalidProperty,,,,,,
803736,111383807,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
802822,111331641,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803583,111357346,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802817,111191418,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803685,111383787,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803760,111383112,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803752,111383111,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803762,111383117,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803592,111357336,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803591,111357324,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803750,111383102,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803726,111383093,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803070,111270296,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803733,111383088,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803744,111383098,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803272,111304868,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803761,111383809,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803743,111383097,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803732,111383094,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
802993,111238311,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803706,111383070,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803712,111383069,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
802952,111234655,OnboardingFailed,InvalidProperty,,,,,,
803707,111383072,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
801491,111233143,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
790578,111198026,OnboardingFailed,InvalidProperty,,,,,,
774371,106710718,PendingReview,,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
763734,104950267,PendingReview,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
785405,108987108,PendingReview,,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
802946,111234646,OnboardingFailed,InvalidProperty,,,,,,
802925,111234632,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802923,111234636,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802932,111234474,OnboardingFailed,InvalidProperty,,,,,,
802930,111234472,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803641,111373302,OnboardingFailed,InvalidProperty,,,,,,
802852,111208406,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803412,111337522,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
802846,111205541,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
802837,111201336,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
802938,111234412,OnboardingFailed,InvalidProperty,,,,,,
803365,111335329,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803581,111357344,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
802816,111191417,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803683,111383785,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803770,111383736,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803577,111357366,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803769,111383725,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803729,111383106,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803758,111383113,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803308,111327348,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803728,111383114,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803571,111357342,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803753,111383105,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803740,111383104,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803568,111356194,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803071,111270295,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803075,111269967,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803748,111383087,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803727,111383084,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803710,111383078,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803717,111383071,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803700,111383073,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803709,111383076,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
780281,107953944,PendingReview,,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
802955,111234654,OnboardingFailed,InvalidProperty,,,,,,
802950,111234651,OnboardingFailed,InvalidProperty,,,,,,
802934,111234477,OnboardingFailed,InvalidProperty,,,,,,
802920,111234469,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803198,111291886,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803147,111286577,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803141,111284967,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803095,111275946,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803089,111275870,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803705,111383068,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803702,111383067,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803693,111383065,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803682,111382725,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803676,111382656,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803066,111270305,OnboardingFailed,InvalidProperty,,,,,,
803668,111381435,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803667,111381087,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803646,111375325,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803642,111373305,OnboardingFailed,InvalidProperty,,,,,,
802956,111234415,OnboardingFailed,InvalidProperty,,,,,,
803068,111270303,OnboardingFailed,InvalidProperty,,,,,,
802652,111229647,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803419,111341661,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803410,111336760,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803379,111335330,OnboardingFailed,InvalidProperty,,,,,,
803064,111270300,OnboardingFailed,InvalidProperty,,,,,,
803636,111373299,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803593,111357955,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803735,111383808,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
802818,111191420,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
803720,111383806,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803687,111383788,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803759,111383115,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803754,111383108,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803738,111383109,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803756,111383107,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
803569,111357347,OnboardingSucceeded,,N/A,TRUE,N/A,TRUE,TRUE,TRUE
803722,111383086,OnboardingSucceeded,,TRUE,TRUE,N/A,TRUE,TRUE,TRUE
801477,111233111,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
790576,111198034,OnboardingFailed,InvalidProperty,,,,,,
802831,111196005,OnboardingSucceeded,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
784507,108804970,PendingReview,,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
781460,108402191,PendingReview,,N/A,TRUE,N/A,TRUE,TRUE,FALSE
763773,104950268,PendingReview,,FALSE,TRUE,N/A,TRUE,TRUE,TRUE
774544,106714816,PendingReview,,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
648378,93417714,PendingReview,,FALSE,TRUE,N/A,TRUE,TRUE,FALSE
695710,95392469,PendingReview,,N/A,TRUE,N/A,TRUE,TRUE,FALSE
303404,93150977,PendingReview,,TRUE,TRUE,N/A,TRUE,TRUE,FALSE
